winloss,date,score,opponent,location,year,record,coach,conference
W,"Fri, September 23",24 - 17,UCF,"LaVell Edwards Stadium - Provo, UT",2011,10-3 (0.769),Bronco Mendenhall,FBS Independents
W,"Fri, September 30",27 - 24,Utah St,"LaVell Edwards Stadium - Provo, UT",2011,10-3 (0.769),Bronco Mendenhall,FBS Independents
W,"Sat, October 8",29 - 16,San Jose St,"LaVell Edwards Stadium - Provo, UT",2011,10-3 (0.769),Bronco Mendenhall,FBS Independents
W,"Sat, October 15",38 - 28,Oregon St,"Reser Stadium - Corvallis, OR",2011,10-3 (0.769),Bronco Mendenhall,FBS Independents
W,"Sat, October 22",56 - 3,Idaho St,"LaVell Edwards Stadium - Provo, UT",2011,10-3 (0.769),Bronco Mendenhall,FBS Independents
L,"Fri, October 28",28 - 38,TCU,"Arlington, TX",2011,10-3 (0.769),Bronco Mendenhall,FBS Independents
W,"Sat, November 12",42 - 7,Idaho,"LaVell Edwards Stadium - Provo, UT",2011,10-3 (0.769),Bronco Mendenhall,FBS Independents
W,"Sat, November 19",42 - 7,New Mexico St,"LaVell Edwards Stadium - Provo, UT",2011,10-3 (0.769),Bronco Mendenhall,FBS Independents
W,"Sat, December 3",41 - 20,Hawai'i,"Aloha Stadium - Honolulu, HI",2011,10-3 (0.769),Bronco Mendenhall,FBS Independents
W,"Fri, December 30",24 - 21,Tulsa,"Bell Helicopter Armed Forces Bowl - Dallas, TX",2011,10-3 (0.769),Bronco Mendenhall,FBS Independents
W,"Thu, August 30",30 - 6,Washington St,"LaVell Edwards Stadium - Provo, UT",2012,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, September 8",45 - 13,Weber St,"LaVell Edwards Stadium - Provo, UT",2012,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Sat, September 15",21 - 24,Utah,"Rice-Eccles Stadium - Salt Lake City, UT",2012,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Thu, September 20",6 - 7,Boise St,"Albertsons Stadium - Boise, ID",2012,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Fri, September 28",47 - 0,Hawai'i,"LaVell Edwards Stadium - Provo, UT",2012,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Fri, October 5",6 - 3,Utah St,"LaVell Edwards Stadium - Provo, UT",2012,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Sat, October 13",24 - 42,Oregon St,"LaVell Edwards Stadium - Provo, UT",2012,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Sat, October 20",14 - 17,Notre Dame,"Notre Dame Stadium - Notre Dame, IN",2012,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, October 27",41 - 17,Georgia Tech,"Bobby Dodd Stadium - Atlanta, GA",2012,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, November 10",52 - 13,Idaho,"LaVell Edwards Stadium - Provo, UT",2012,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Sat, November 17",14 - 20,San Jose St,"CEFCU Stadium - Home of the Spartans - San Jose, CA",2012,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, November 24",50 - 14,New Mexico St,"Aggie Memorial Stadium - Las Cruces, NM",2012,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Thu, December 20",23 - 6,San Diego St,"San Diego County Credit Union Poinsettia Bowl - San Diego, CA",2012,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Sat, August 31",16 - 19,Virginia,"Scott Stadium - Charlottesville, VA",2013,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, September 7",40 - 21,Texas,"LaVell Edwards Stadium - Provo, UT",2013,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Sat, September 21",13 - 20,Utah,"LaVell Edwards Stadium - Provo, UT",2013,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Fri, September 27",37 - 10,Middle Tennessee,"LaVell Edwards Stadium - Provo, UT",2013,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Fri, October 4",31 - 14,Utah St,"Romney Stadium - Logan, UT",2013,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, October 12",38 - 20,Georgia Tech,"LaVell Edwards Stadium - Provo, UT",2013,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, October 19",47 - 46,Houston, ,2013,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Fri, October 25",37 - 20,Boise St,"LaVell Edwards Stadium - Provo, UT",2013,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Sat, November 9",17 - 27,Wisconsin,"Camp Randall Stadium - Madison, WI",2013,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, November 16",59 - 13,Idaho St,"LaVell Edwards Stadium - Provo, UT",2013,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Sat, November 23",13 - 23,Notre Dame,"Notre Dame Stadium - Notre Dame, IN",2013,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, November 30",28 - 23,Nevada,"Mackay Stadium - Reno, NV",2013,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Fri, December 27",16 - 31,Washington,Fight Hunger Bowl - ,2013,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Fri, August 29",35 - 10,Connecticut,"Rentschler Field - East Hartford, CT",2014,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, September 6",41 - 7,Texas,"Royal Texas Memorial Stadium - Austin, TX",2014,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Thu, September 11",33 - 25,Houston,"LaVell Edwards Stadium - Provo, UT",2014,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, September 20",41 - 33,Virginia,"LaVell Edwards Stadium - Provo, UT",2014,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Fri, October 3",20 - 35,Utah St,"LaVell Edwards Stadium - Provo, UT",2014,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Thu, October 9",24 - 31,UCF,"Bright House Networks Stadium - Orlando, FL",2014,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Sat, October 18",35 - 42,Nevada,"LaVell Edwards Stadium - Provo, UT",2014,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Fri, October 24",30 - 55,Boise St,"Albertsons Stadium - Boise, ID",2014,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, November 1",27 - 7,Middle Tennessee,"Floyd Stadium - Murfreesboro, TN",2014,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, November 15",42 - 23,UNLV,"LaVell Edwards Stadium - Provo, UT",2014,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, November 22",64 - 0,Savannah St,"LaVell Edwards Stadium - Provo, UT",2014,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, November 29",42 - 35,California,"Memorial Stadium (Berkeley, CA) - Berkeley, CA",2014,8-5 (0.615),Bronco Mendenhall,FBS Independents
L,"Mon, December 22",48 - 55,Memphis,"Miami Beach Bowl - Miami, FL",2014,8-5 (0.615),Bronco Mendenhall,FBS Independents
W,"Sat, September 5",33 - 28,Nebraska,"Memorial Stadium (Lincoln, NE) - Lincoln, NE",2015,9-4 (0.692),Bronco Mendenhall,FBS Independents
W,"Sat, September 12",35 - 24,Boise St,"LaVell Edwards Stadium - Provo, UT",2015,9-4 (0.692),Bronco Mendenhall,FBS Independents
L,"Sat, September 19",23 - 24,UCLA,"Rose Bowl - Pasadena, CA",2015,9-4 (0.692),Bronco Mendenhall,FBS Independents
L,"Sat, September 26",0 - 31,Michigan,"Michigan Stadium - Ann Arbor, MI",2015,9-4 (0.692),Bronco Mendenhall,FBS Independents
W,"Fri, October 2",30 - 13,Connecticut,"LaVell Edwards Stadium - Provo, UT",2015,9-4 (0.692),Bronco Mendenhall,FBS Independents
W,"Sat, October 10",45 - 38,East Carolina,"LaVell Edwards Stadium - Provo, UT",2015,9-4 (0.692),Bronco Mendenhall,FBS Independents
W,"Fri, October 16",38 - 24,Cincinnati,"LaVell Edwards Stadium - Provo, UT",2015,9-4 (0.692),Bronco Mendenhall,FBS Independents
W,"Sat, October 24",70 - 6,Wagner,"LaVell Edwards Stadium - Provo, UT",2015,9-4 (0.692),Bronco Mendenhall,FBS Independents
W,"Fri, November 6",17 - 16,San Jose St,"CEFCU Stadium - Home of the Spartans - San Jose, CA",2015,9-4 (0.692),Bronco Mendenhall,FBS Independents
L,"Sat, November 14",16 - 20,Missouri,"Arrowhead Stadium - Kansas City, MO",2015,9-4 (0.692),Bronco Mendenhall,FBS Independents
W,"Sat, November 21",52 - 10,Fresno St,"LaVell Edwards Stadium - Provo, UT",2015,9-4 (0.692),Bronco Mendenhall,FBS Independents
W,"Sat, November 28",51 - 28,Utah St,"Romney Stadium - Logan, UT",2015,9-4 (0.692),Bronco Mendenhall,FBS Independents
L,"Sat, December 19",28 - 35,Utah,"Royal Purple Las Vegas Bowl - Las Vegas, NV",2015,9-4 (0.692),Bronco Mendenhall,FBS Independents
W,"Sat, September 3",18 - 16,Arizona,"University of Phoenix Stadium - Glendale, AZ",2016,9-4 (0.692),Kalani Sitake,FBS Independents
L,"Sat, September 10",19 - 20,Utah,"Rice-Eccles Stadium - Salt Lake City, UT",2016,9-4 (0.692),Kalani Sitake,FBS Independents
L,"Sat, September 17",14 - 17,UCLA,"LaVell Edwards Stadium - Provo, UT",2016,9-4 (0.692),Kalani Sitake,FBS Independents
L,"Sat, September 24",32 - 35,West Virginia,"FedExField - Landover, MD",2016,9-4 (0.692),Kalani Sitake,FBS Independents
W,"Fri, September 30",55 - 53,Toledo,"LaVell Edwards Stadium - Provo, UT",2016,9-4 (0.692),Kalani Sitake,FBS Independents
W,"Sat, October 8",31 - 14,Michigan St,"Spartan Stadium (MI) - East Lansing, MI",2016,9-4 (0.692),Kalani Sitake,FBS Independents
W,"Fri, October 14",28 - 21,Mississippi St,"LaVell Edwards Stadium - Provo, UT",2016,9-4 (0.692),Kalani Sitake,FBS Independents
L,"Thu, October 20",27 - 28,Boise St,"Albertsons Stadium - Boise, ID",2016,9-4 (0.692),Kalani Sitake,FBS Independents
W,"Sat, November 5",20 - 3,Cincinnati,"Nippert Stadium - Cincinnati, OH",2016,9-4 (0.692),Kalani Sitake,FBS Independents
W,"Sat, November 12",37 - 7,Southern Utah,"LaVell Edwards Stadium - Provo, UT",2016,9-4 (0.692),Kalani Sitake,FBS Independents
W,"Sat, November 19",51 - 9,Massachusetts,"LaVell Edwards Stadium - Provo, UT",2016,9-4 (0.692),Kalani Sitake,FBS Independents
W,"Sat, November 26",28 - 10,Utah St,"LaVell Edwards Stadium - Provo, UT",2016,9-4 (0.692),Kalani Sitake,FBS Independents
W,"Wed, December 21",24 - 21,Wyoming,"San Diego County Credit Union Poinsettia Bowl - San Diego, CA",2016,9-4 (0.692),Kalani Sitake,FBS Independents
W,"Sat, August 26",20 - 6,Portland St,"LaVell Edwards Stadium - Provo, UT",2017,4-9 (0.308),Kalani Sitake,FBS Independents
L,"Sat, September 2",0 - 27,LSU,"Advocare Texas Kickoff - New Orleans, LA",2017,4-9 (0.308),Kalani Sitake,FBS Independents
L,"Sat, September 9",13 - 19,Utah,"LaVell Edwards Stadium - Provo, UT",2017,4-9 (0.308),Kalani Sitake,FBS Independents
L,"Sat, September 16",6 - 40,Wisconsin,"LaVell Edwards Stadium - Provo, UT",2017,4-9 (0.308),Kalani Sitake,FBS Independents
L,"Fri, September 29",24 - 40,Utah St,"Romney Stadium - Logan, UT",2017,4-9 (0.308),Kalani Sitake,FBS Independents
L,"Fri, October 6",7 - 24,Boise St,"LaVell Edwards Stadium - Provo, UT",2017,4-9 (0.308),Kalani Sitake,FBS Independents
L,"Sat, October 14",10 - 35,Mississippi St,"Davis Wade Stadium - Starkville, MS",2017,4-9 (0.308),Kalani Sitake,FBS Independents
L,"Sat, October 21",17 - 33,East Carolina,"Dowdy-Ficklen Stadium - Greenville, NC",2017,4-9 (0.308),Kalani Sitake,FBS Independents
W,"Sat, October 28",41 - 20,San Jose St,"LaVell Edwards Stadium - Provo, UT",2017,4-9 (0.308),Kalani Sitake,FBS Independents
L,"Sat, November 4",13 - 20,Fresno St,"Bulldog Stadium (CA) - Fresno, CA",2017,4-9 (0.308),Kalani Sitake,FBS Independents
W,"Fri, November 10",31 - 21,UNLV,"Sam Boyd Stadium - Las Vegas, NV",2017,4-9 (0.308),Kalani Sitake,FBS Independents
L,"Sat, November 18",10 - 16,Massachusetts,"LaVell Edwards Stadium - Provo, UT",2017,4-9 (0.308),Kalani Sitake,FBS Independents
W,"Sat, November 25",30 - 20,Hawai'i,"Aloha Stadium - Honolulu, HI",2017,4-9 (0.308),Kalani Sitake,FBS Independents
W,"Sat, September 1",28 - 23,Arizona,"Arizona Stadium - Tucson, AZ",2018,1-0 (1.000),Kalani Sitake,FBS Independents
 ,"Sat, September 8",0 - 0,California,"LaVell Edwards Stadium - Provo, UT",2018,1-0 (1.000),Kalani Sitake,FBS Independents
 ,"Sat, September 15",0 - 0,Wisconsin,"Camp Randall Stadium - Madison, WI",2018,1-0 (1.000),Kalani Sitake,FBS Independents
 ,"Sat, September 22",0 - 0,McNeese St,"LaVell Edwards Stadium - Provo, UT",2018,1-0 (1.000),Kalani Sitake,FBS Independents
 ,"Sat, September 29",0 - 0,Washington,"Seattle, WA",2018,1-0 (1.000),Kalani Sitake,FBS Independents
 ,"Fri, October 5",0 - 0,Utah St,"Provo, UT",2018,1-0 (1.000),Kalani Sitake,FBS Independents
 ,"Sat, October 13",0 - 0,Hawai'i,"Provo, UT",2018,1-0 (1.000),Kalani Sitake,FBS Independents
 ,"Sat, October 27",0 - 0,Northern Illinois,"Provo, UT",2018,1-0 (1.000),Kalani Sitake,FBS Independents
 ,"Sat, November 3",0 - 0,Boise St,"Boise, ID",2018,1-0 (1.000),Kalani Sitake,FBS Independents
 ,"Sat, November 10",0 - 0,Massachusetts,"Amherst, MA",2018,1-0 (1.000),Kalani Sitake,FBS Independents
 ,"Sat, November 17",0 - 0,New Mexico St,"Provo, UT",2018,1-0 (1.000),Kalani Sitake,FBS Independents
 ,"Sat, November 24",0 - 0,Utah,"Salt Lake City, UT",2018,1-0 (1.000),Kalani Sitake,FBS Independents
